epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1466,1.19283,2.14693,1.10673,1.29732,0.77395,0.65,0.80291,0.50211,0.03702,0.05,0.01249,0.00361,1.44138,7.08394,7.25496,1.74039,0.071087,8.7e-05,8.7e-05
2,117.332,0.90547,1.2037,0.56296,1.10382,0.9957,1,0.995,0.83395,0.9957,1,0.995,0.82967,0.68087,0.92688,0.72669,1.17179,0.0411711,0.000171102,0.000171102
3,173.573,0.8503,1.11076,0.52693,1.0717,0.99537,1,0.995,0.71401,0.99537,1,0.995,0.76999,1.03595,1.18742,0.60328,1.47358,0.0112492,0.000249205,0.000249205
4,229.105,0.84654,1.07463,0.52431,1.08021,0.9969,1,0.995,0.68066,0.9969,1,0.995,0.8175,1.07725,0.97879,0.60147,1.58642,0.000270009,0.000270009,0.000270009
5,281.285,0.76013,1.0152,0.46114,1.02902,0.99598,1,0.995,0.81024,0.99598,1,0.995,0.83356,0.74114,0.8476,0.47452,1.23954,0.000260012,0.000260012,0.000260012
6,335.135,0.72101,0.9456,0.43859,1.03482,0.99729,1,0.995,0.84979,0.99729,1,0.995,0.89102,0.6271,0.57955,0.33004,1.16017,0.000250015,0.000250015,0.000250015
7,389.785,0.74482,0.93863,0.44053,1.04442,0.99735,1,0.995,0.86357,0.99735,1,0.995,0.89894,0.55741,0.58396,0.32927,1.11674,0.000240018,0.000240018,0.000240018
8,446.289,0.69591,0.87723,0.41568,1.0108,0.99733,1,0.995,0.85205,0.99733,1,0.995,0.8781,0.63256,0.59959,0.29029,1.17108,0.000230021,0.000230021,0.000230021
9,502.143,0.69047,0.89986,0.40871,0.99889,0.99716,1,0.995,0.88091,0.99716,1,0.995,0.87594,0.59372,0.58457,0.29592,1.14213,0.000220024,0.000220024,0.000220024
10,558.152,0.6924,0.86796,0.41602,1.01448,0.99731,1,0.995,0.86996,0.99731,1,0.995,0.88821,0.6375,0.6639,0.32018,1.14685,0.000210027,0.000210027,0.000210027
11,613.699,0.67894,0.8555,0.4094,1.00524,0.99732,1,0.995,0.85,0.99732,1,0.995,0.8785,0.57586,0.54081,0.27717,1.148,0.00020003,0.00020003,0.00020003
12,670.191,0.65343,0.76818,0.38484,0.98644,0.99731,1,0.995,0.87898,0.99731,1,0.995,0.88913,0.60109,0.52808,0.30038,1.15545,0.000190033,0.000190033,0.000190033
13,725.137,0.65328,0.77778,0.38946,0.99029,0.99731,1,0.995,0.88492,0.99731,1,0.995,0.90336,0.58022,0.51125,0.27987,1.10021,0.000180036,0.000180036,0.000180036
14,781.705,0.61422,0.74831,0.37056,0.97638,0.99729,1,0.995,0.86781,0.99729,1,0.995,0.87921,0.57723,0.66756,0.3071,1.1236,0.000170039,0.000170039,0.000170039
15,836.97,0.61995,0.76571,0.36893,0.98204,0.99735,1,0.995,0.86162,0.99735,1,0.995,0.8916,0.58809,0.57565,0.31196,1.15553,0.000160042,0.000160042,0.000160042
16,893.69,0.62165,0.7645,0.37365,0.98465,0.9972,1,0.995,0.86768,0.9972,1,0.995,0.90395,0.58515,0.59177,0.26782,1.15899,0.000150045,0.000150045,0.000150045
17,949.801,0.6087,0.74868,0.35542,0.97002,0.99739,1,0.995,0.87298,0.99739,1,0.995,0.89924,0.57802,0.54905,0.26848,1.12965,0.000140048,0.000140048,0.000140048
18,1006.67,0.59264,0.73375,0.34887,0.95252,0.99722,1,0.995,0.90039,0.99722,1,0.995,0.91405,0.582,0.52482,0.26436,1.14616,0.000130051,0.000130051,0.000130051
19,1063.53,0.61076,0.73937,0.34138,0.97251,0.99738,1,0.995,0.86724,0.99738,1,0.995,0.88804,0.6128,0.607,0.31747,1.19073,0.000120054,0.000120054,0.000120054
20,8529.35,0.5733,0.71706,0.32658,0.95703,0.99727,1,0.995,0.89049,0.99727,1,0.995,0.90669,0.53358,0.50976,0.23566,1.13838,0.000110057,0.000110057,0.000110057
21,8584.32,0.48013,0.49066,0.25115,0.9557,0.9972,1,0.995,0.86913,0.9972,1,0.995,0.89287,0.5879,0.56156,0.25741,1.14775,0.00010006,0.00010006,0.00010006
22,8638.88,0.44332,0.46619,0.23112,0.92407,0.99734,1,0.995,0.86589,0.99734,1,0.995,0.88159,0.57995,0.60865,0.24458,1.16366,9.0063e-05,9.0063e-05,9.0063e-05
23,8692.32,0.43238,0.45888,0.22634,0.92413,0.99745,1,0.995,0.87571,0.99745,1,0.995,0.91377,0.53351,0.52059,0.25676,1.10864,8.0066e-05,8.0066e-05,8.0066e-05
24,8745.82,0.42345,0.45394,0.22086,0.92177,0.99726,1,0.995,0.87313,0.99726,1,0.995,0.91387,0.52185,0.50802,0.24188,1.09612,7.0069e-05,7.0069e-05,7.0069e-05
25,8801.06,0.43084,0.45529,0.22613,0.92271,0.99729,1,0.995,0.87423,0.99729,1,0.995,0.89321,0.58601,0.56281,0.25113,1.15066,6.0072e-05,6.0072e-05,6.0072e-05
26,8855.97,0.41965,0.44427,0.21287,0.91143,0.99735,1,0.995,0.90232,0.99735,1,0.995,0.91773,0.51673,0.49807,0.21663,1.08546,5.0075e-05,5.0075e-05,5.0075e-05
27,8910.12,0.39219,0.43539,0.20399,0.90117,0.9973,1,0.995,0.91204,0.9973,1,0.995,0.91433,0.52134,0.5001,0.22845,1.0871,4.0078e-05,4.0078e-05,4.0078e-05
28,8964.71,0.40259,0.42256,0.2022,0.91869,0.99739,1,0.995,0.9124,0.99739,1,0.995,0.9204,0.50448,0.5199,0.21601,1.08916,3.0081e-05,3.0081e-05,3.0081e-05
29,9018.86,0.37796,0.41242,0.19315,0.89379,0.99739,1,0.995,0.9193,0.99739,1,0.995,0.93591,0.50737,0.51273,0.21914,1.09189,2.0084e-05,2.0084e-05,2.0084e-05
30,9073.09,0.38667,0.42182,0.19468,0.90856,0.99736,1,0.995,0.91469,0.99736,1,0.995,0.9289,0.5034,0.51114,0.20619,1.08714,1.0087e-05,1.0087e-05,1.0087e-05
