                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1894,                  5.186,                 3.7959,                 2.1389,                0.01981,                    0.5,                0.01961,                0.00459,                0.00462,                      1,                 0.0087,                0.00245,                 2.4908,                 3.6694,                 4.1344,                 2.8313,               0.071087,                8.7e-05,                8.7e-05
                      1,                 1.8604,                 3.9536,                  2.982,                 1.8856,                0.31047,                0.54054,                0.28296,                0.15103,                 0.2873,                    0.5,                  0.283,                0.15799,                 1.5927,                 2.5783,                 2.1042,                 1.9111,               0.041171,              0.0001711,              0.0001711
                      2,                 1.5296,                 2.9991,                 1.8781,                 1.6592,                 0.8261,                    0.7,                0.82498,                 0.5239,                 0.8261,                    0.7,                 0.8105,                0.49922,                 1.1752,                 2.1431,                 2.1417,                 1.5007,               0.011249,             0.00024921,             0.00024921
                      3,                 1.2378,                 2.2866,                 1.3691,                 1.4312,                0.93679,                    0.9,                0.94771,                0.66599,                0.93679,                    0.9,                0.93121,                0.63723,                 1.0975,                  1.804,                 1.5128,                 1.5036,             0.00027001,             0.00027001,             0.00027001
                      4,                  1.072,                 1.8463,                 1.0577,                 1.2916,                0.94601,                   0.95,                0.98598,                0.74674,                0.94601,                   0.95,                0.98598,                0.77494,                0.88277,                 1.1197,                 1.0701,                 1.3923,             0.00027001,             0.00027001,             0.00027001
                      5,                 1.0049,                 1.5527,                0.86032,                  1.219,                 0.9483,                      1,                0.99262,                0.77791,                 0.9483,                      1,                0.99262,                0.81291,                0.87665,                0.91056,                0.74854,                 1.3739,             0.00026001,             0.00026001,             0.00026001
                      6,                0.92607,                 1.3981,                0.74425,                 1.1825,                0.97449,                      1,                  0.995,                 0.7906,                0.97449,                      1,                  0.995,                0.84036,                0.83517,                0.83982,                0.67446,                 1.3461,             0.00025001,             0.00025001,             0.00025001
                      7,                0.93642,                 1.2954,                0.69396,                 1.1699,                 0.9926,                      1,                  0.995,                0.80245,                 0.9926,                      1,                  0.995,                0.83927,                0.77516,                0.71132,                0.54758,                 1.2873,             0.00024002,             0.00024002,             0.00024002
                      8,                0.85448,                 1.1731,                0.62027,                 1.1226,                0.99307,                      1,                  0.995,                0.80876,                0.99307,                      1,                  0.995,                0.84225,                0.75181,                0.72577,                0.49863,                 1.2579,             0.00023002,             0.00023002,             0.00023002
                      9,                0.83289,                 1.1068,                0.56584,                 1.1036,                0.99495,                      1,                  0.995,                0.81849,                0.99495,                      1,                  0.995,                0.85609,                0.70095,                0.69613,                0.45103,                  1.222,             0.00022002,             0.00022002,             0.00022002
                     10,                 0.8006,                 1.0876,                0.54167,                 1.0809,                0.99314,                      1,                  0.995,                0.82968,                0.99314,                      1,                  0.995,                0.88969,                0.71521,                0.66598,                 0.4199,                 1.2144,             0.00021003,             0.00021003,             0.00021003
                     11,                0.77955,                 1.0481,                0.50431,                 1.0638,                0.99363,                      1,                  0.995,                0.82299,                0.99363,                      1,                  0.995,                 0.8799,                0.71804,                0.66959,                0.38516,                 1.2144,             0.00020003,             0.00020003,             0.00020003
                     12,                0.76855,                0.98277,                0.49928,                 1.0694,                      1,                0.99516,                  0.995,                0.82537,                      1,                0.99516,                  0.995,                0.89294,                0.70657,                0.62369,                 0.3903,                 1.2161,             0.00019003,             0.00019003,             0.00019003
                     13,                 0.7726,                0.98147,                0.47517,                 1.0425,                 0.9946,                      1,                  0.995,                0.84316,                 0.9946,                      1,                  0.995,                0.87685,                0.68073,                 0.6531,                0.36418,                 1.1916,             0.00018004,             0.00018004,             0.00018004
                     14,                0.74615,                0.95337,                0.45211,                 1.0435,                0.99314,                      1,                  0.995,                0.82621,                0.99314,                      1,                  0.995,                0.86808,                0.70347,                0.65238,                0.35001,                 1.2057,             0.00017004,             0.00017004,             0.00017004
                     15,                 0.7136,                0.93327,                0.44256,                 1.0371,                0.99186,                      1,                  0.995,                0.85311,                0.99186,                      1,                  0.995,                0.89185,                0.63977,                0.64547,                0.33066,                 1.1628,             0.00016004,             0.00016004,             0.00016004
                     16,                0.69718,                0.93629,                0.43574,                 1.0084,                0.98945,                      1,                  0.995,                0.82731,                0.98945,                      1,                  0.995,                0.87553,                0.71275,                0.70006,                0.34996,                 1.2027,             0.00015004,             0.00015004,             0.00015004
                     17,                 0.6976,                 0.9123,                0.41959,                 1.0218,                0.98852,                      1,                  0.995,                0.84799,                0.98852,                      1,                  0.995,                0.88998,                0.67893,                0.63315,                0.33858,                 1.1814,             0.00014005,             0.00014005,             0.00014005
                     18,                0.68561,                0.90432,                0.42597,                 1.0158,                0.99181,                      1,                  0.995,                0.85441,                0.99181,                      1,                  0.995,                0.89156,                0.63564,                0.56576,                0.30854,                  1.163,             0.00013005,             0.00013005,             0.00013005
                     19,                0.70291,                0.90308,                0.41407,                 1.0165,                0.99462,                      1,                  0.995,                0.86119,                0.99462,                      1,                  0.995,                0.89304,                0.61979,                0.56172,                0.31026,                 1.1521,             0.00012005,             0.00012005,             0.00012005
                     20,                 0.5975,                0.65154,                0.35706,                 1.0137,                0.99275,                      1,                  0.995,                0.84203,                0.99275,                      1,                  0.995,                0.88534,                 0.6692,                0.60394,                 0.3443,                 1.1915,             0.00011006,             0.00011006,             0.00011006
                     21,                 0.6013,                0.66123,                0.33389,                 1.0157,                0.99386,                      1,                  0.995,                 0.8543,                0.99386,                      1,                  0.995,                0.90189,                0.63072,                 0.5382,                0.31329,                 1.1572,             0.00010006,             0.00010006,             0.00010006
